bin,binBarcode,level,option1,option2,option3,productName,productType,quantity,shelf,sku,warehouse,expiration,lotName,minCost,avgCost,maxCost,price,committed,incoming
LVL 2,1772124449866,2,Size: Size 0,,,"EasyCare Easyboot Cloud Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EBC-0,Wellington Warehouse,,,59610,59610,59610,92000,0,0
LVL 2,1772124449866,2,Size: Size 6,,,"EasyCare Easyboot New Trail Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,3,Hoof Boots,SB-EBNT-6,Wellington Warehouse,,,55260,55260,55260,97000,0,0
LVL 2,1772124449866,2,Size: Size 0,,,"EasyCare Easyboot New Trail Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,6,Hoof Boots,SB-EBNT-0,Wellington Warehouse,,,55260,55260,55260,97000,0,0
LVL 2,1772124449866,2,Size: Size 3,,,"EasyCare Easyboot Epic Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,7,Hoof Boots,SB-EASYE3,Wellington Warehouse,,,68310,68310,68310,99950,0,0
LVL 2,1772124449866,2,Size: Size 5,,,"EasyCare Easyboot Rx Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,0,Hoof Boots,SB-EBRX-5,Wellington Warehouse,,,53400,53400,53400,89950,0,0
BIN-01,1768403023955,1,Size: Size 5,,,"EasyCare Easyboot Cloud Insert Pad, Pair",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Shelf 10,SB-EBCI-5,Wellington Warehouse,,,13020,13020,13020,25950,0,0
LVL 2,1772124449866,2,Size: Size 7,,,"EasyCare Easyboot New Trail Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,6,Hoof Boots,SB-EBNT-7,Wellington Warehouse,,,63960,63960,63960,113000,0,0
LVL 2,1772124449866,2,Size: Size 4,,,"EasyCare Easyboot Epic Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EASYE4,Wellington Warehouse,,,68310,68310,68310,99950,0,0
BIN-01,1768403023955,1,Size: Size 0,,,"EasyCare Easyboot Cloud Insert Pad, Pair",Tack & Equipment > Boots & Wraps > Hoof Boots,6,Shelf 10,SB-EBCI-0,Wellington Warehouse,,,13020,13020,13020,25950,0,0
LVL 2,1772124449866,2,Size: Size 5,,,"EasyCare Easyboot Epic Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EASYE5,Wellington Warehouse,,,68310,68310,68310,99950,0,0
LVL 1,1772124449865,1,Size: Size 6,,,"EasyCare Easyboot Rx Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,4,Hoof Boots,SB-EBRX-6,Wellington Warehouse,,,53400,53400,53400,82000,0,0
LVL 2,1772124449866,2,Size: Size 5,,,"EasyCare Easyboot New Trail Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,4,Hoof Boots,SB-EBNT-5,Wellington Warehouse,,,55260,55260,55260,97000,0,0
ROW 5 : LVL 2,1769190184152,2,Size: 32 Ounces,,,Farnam Endure Sweat Resistant Fly Spray,Horse Care > Fly & Insect Control > Fly Sprays & Traps,29,Fly sprays,3002431,Wellington Warehouse,,,0,10180,20360,24990,0,0
LVL 2,1772124449866,2,Size: Size 3,,,"EasyCare Easyboot Original Trail Hoof Boot, Single Boot",Tack & Equipment > Boots & Wraps > Hoof Boots,1,Hoof Boots,SB-EBT-3,Wellington Warehouse,,,39110,39110,39110,74990,0,0
